Participant,Age,Sex,Handedness,Condition,Cue,SOA,Resp,RT,Control,Q1.YesNo.resp,Q2.LeftRight.resp,Q3.PAS.resp,MergedConds,MainConds,outlier
1,23,female,right,1,No,217,2,199,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,267,1,2,1,1,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,279,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,294,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,309,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,316,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,361,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,395,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,494,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,502,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,693,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,696,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,1,No,217,2,1068,0,0,0,0,SOA217_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,302,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,335,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,362,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,386,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,393,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,438,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,530,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,555,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,561,1,1,1,2,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,764,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,824,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,961,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,2,No,150,2,976,0,0,0,0,SOA150_NoCue_1Horiz,NoCue,NO
1,23,female,right,3,No,83,2,421,0,0,0,0,SOA83_NoCue_1Horiz,NoCue,NO
1,23,female,right,3,No,83,2,490,0,0,0,0,SOA83_NoCue_1Horiz,NoCue,NO
1,23,female,right,3,No,83,2,494,0,0,0,0,SOA83_NoCue_1Horiz,NoCue,NO
1,23,female,right,3,No,83,2,504,1,2,1,1,SOA83_NoCue_1Horiz,NoCue,NO
